FiscalYear,MonthYear,Town,AdmMonth,PrimaryDrug,AdmCount
2014,14-Jan,Ansonia,1,Heroin,0
2014,14-Feb,Ansonia,2,Alcohol,11
2014,14-Feb,Ansonia,2,"Marijuana, Hashish, THC",9
2014,14-Mar,Ansonia,3,Alcohol,13
2014,14-Mar,Ansonia,3,"Marijuana, Hashish, THC",10
2014,14-Apr,Ansonia,4,Alcohol,14
2014,14-Apr,Ansonia,4,"Marijuana, Hashish, THC",8
2014,14-May,Ansonia,5,Alcohol,16
2014,14-May,Ansonia,5,Heroin,12
2014,14-May,Ansonia,5,"Marijuana, Hashish, THC",7
2014,14-Jun,Ansonia,6,Alcohol,22
2014,14-Jun,Ansonia,6,Heroin,10
2014,14-Jun,Ansonia,6,"Marijuana, Hashish, THC",7
2014,14-Jun,Ansonia,6,Other Opiates and Synthetics,8
2014,13-Jul,Ansonia,7,Alcohol,10
2014,13-Jul,Ansonia,7,Heroin,7
2014,13-Jul,Ansonia,7,"Marijuana, Hashish, THC",6
2014,13-Aug,Ansonia,8,Alcohol,14
2014,13-Aug,Ansonia,8,Heroin,10
2014,13-Aug,Ansonia,8,"Marijuana, Hashish, THC",10
2014,13-Sep,Ansonia,9,Alcohol,13
2014,13-Sep,Ansonia,9,Heroin,7
2014,13-Sep,Ansonia,9,"Marijuana, Hashish, THC",6
2014,13-Oct,Ansonia,10,Alcohol,8
2014,13-Oct,Ansonia,10,Heroin,12
2014,13-Nov,Ansonia,11,Alcohol,10
2014,13-Nov,Ansonia,11,Heroin,6
2014,13-Nov,Ansonia,11,"Marijuana, Hashish, THC",8
2014,13-Dec,Ansonia,12,Alcohol,12
2014,13-Dec,Ansonia,12,Heroin,10
2014,13-Dec,Ansonia,12,"Marijuana, Hashish, THC",6
2014,13-Sep,Ansonia,9,Heroin,12
2014,13-Sep,Ansonia,9,Alcohol,10
2014,14-Jan,Berlin,1,Alcohol,11
2014,14-Jan,Berlin,1,Heroin,7
2014,14-Feb,Berlin,2,Heroin,7
2014,14-Mar,Berlin,3,Alcohol,10
2014,14-Apr,Berlin,4,Alcohol,9
2014,14-May,Berlin,5,Alcohol,6
2014,14-May,Berlin,5,Heroin,7
2014,14-Jun,Berlin,6,Alcohol,13
2014,14-Jun,Berlin,6,Heroin,6
2014,13-Jul,Berlin,7,Alcohol,12
2014,13-Aug,Berlin,8,Alcohol,7
2014,13-Aug,Berlin,8,Heroin,8
2014,13-Sep,Berlin,9,Alcohol,6
2014,13-Sep,Berlin,9,Heroin,7
2014,13-Oct,Berlin,10,Heroin,9
2014,13-Dec,Berlin,12,Alcohol,6
2014,13-Dec,Berlin,12,Heroin,7
2014,14-Jan,Bethel,1,Heroin,7
2014,14-Feb,Bethel,2,Alcohol,10
2014,14-Feb,Bethel,2,Heroin,7
2014,14-Mar,Bethel,3,Alcohol,8
2014,14-Mar,Bethel,3,Heroin,7
2014,14-Apr,Bethel,4,Alcohol,12
2014,14-Apr,Bethel,4,Heroin,6
2014,14-May,Bethel,5,Alcohol,7
2014,14-Jun,Bethel,6,Alcohol,11
2014,14-Jun,Bethel,6,Heroin,7
2014,13-Jul,Bethel,7,Heroin,8
2014,13-Aug,Bethel,8,Alcohol,9
2014,13-Aug,Bethel,8,Heroin,8
2014,13-Sep,Bethel,9,Alcohol,13
2014,13-Sep,Bethel,9,Heroin,6
2014,13-Oct,Bethel,10,Alcohol,7
2014,13-Oct,Bethel,10,Heroin,7
2014,13-Nov,Bethel,11,Alcohol,7
2014,13-Nov,Bethel,11,Heroin,8
2014,13-Dec,Bethel,12,Heroin,15
2014,14-Jan,Bloomfield,1,Alcohol,9
2014,14-Mar,Bloomfield,3,Alcohol,14
2014,14-Apr,Bloomfield,4,Alcohol,9
2014,14-May,Bloomfield,5,Alcohol,14
2014,14-Jun,Bloomfield,6,Alcohol,8
2014,14-Jun,Bloomfield,6,Heroin,6
